Booking#,dt,Agent#,Agent_Name,Cust_Number,Destination#,Destination_City,Destination_Country,Destination_Region,Amount,From_Date,To_Date,Length of Stay
5058,07/07/2018,5,Sandy Douglas,11772,65,Birmingham,United States,North America,4466,31/05/2019,03/06/2019,3
5059,07/07/2018,11,Kay Adams,23064,64,Baton Rouge,United States,North America,4455,05/06/2018,02/07/2018,27
5060,07/07/2018,7,Horace Hawkins,17191,111,Tulsa,United States,North America,13961,17/07/2018,29/07/2018,12
5061,07/07/2018,5,Sandy Douglas,24766,20,Kathmandu,Nepal,Asia,14686,23/08/2018,08/09/2018,16
5062,07/07/2018,8,Elisa Bennett,37209,110,Tucson,United States,North America,3156,17/06/2019,10/07/2019,23
5063,07/07/2018,11,Kay Adams,8968,76,Fresno,United States,North America,2632,15/04/2019,18/04/2019,3
5064,07/07/2018,1,Jordan Curry,47650,82,Las Vegas,United States,North America,9140,25/05/2019,12/06/2019,18
5065,07/07/2018,9,Olive Diaz,25873,8,Johannesburg,South Africa,Africa,12187,31/08/2019,21/09/2019,21
5066,07/07/2018,2,Molly Cross,2172,34,Lisbon,Portugal,Europe,6758,05/05/2018,28/05/2018,23
5067,07/07/2018,4,Mitchell Barton,4750,53,Toronto,Canada,North America,5066,28/06/2019,14/07/2019,16
5068,07/07/2018,8,Elisa Bennett,31311,1,Marrakech,Morocco,Africa,9289,27/02/2019,04/03/2019,5
5069,07/07/2018,6,Thelma Jefferson,8046,46,Tel Aviv,Israel,Middle East,8433,02/04/2018,21/04/2018,19
5070,07/07/2018,3,Carole Cox,32280,34,Lisbon,Portugal,Europe,12462,29/11/2018,30/11/2018,1
5071,07/07/2018,2,Molly Cross,21854,102,Portland,United States,North America,6086,20/01/2019,30/01/2019,10
5072,07/07/2018,1,Jordan Curry,13727,25,Prague,Czech Republic,Europe,7654,14/07/2019,06/08/2019,23
5073,07/07/2018,3,Carole Cox,18666,44,Sharm El Sheikh,Egypt,Middle East,9380,16/07/2018,28/07/2018,12
5074,07/07/2018,3,Carole Cox,31449,13,Guangzhou,China,Asia,4296,14/05/2018,31/05/2018,17
5075,07/07/2018,11,Kay Adams,44082,92,Nashville,United States,North America,7212,07/07/2018,21/07/2018,14
5076,07/07/2018,10,Simon Fleming,32059,56,Cabo San Lucas,Mexico,North America,12447,18/05/2018,04/06/2018,17
5077,07/07/2018,1,Jordan Curry,29367,120,Rio de Janeiro,Brazil,South America,7311,11/03/2019,17/03/2019,6
5078,07/07/2018,4,Mitchell Barton,23618,23,Hoi An,Vietnam,Asia,3238,22/07/2018,07/08/2018,16
5079,07/07/2018,7,Horace Hawkins,14807,92,Nashville,United States,North America,2503,02/07/2018,05/07/2018,3
5080,07/07/2018,11,Kay Adams,5071,78,Honolulu,United States,North America,13130,09/07/2018,30/07/2018,21
5081,07/07/2018,1,Jordan Curry,21184,24,Vienna,Austria,Europe,14640,13/09/2018,28/09/2018,15
5082,08/07/2018,11,Kay Adams,22641,17,New Delhi,India,Asia,11603,08/03/2019,30/03/2019,22
5083,08/07/2018,10,Simon Fleming,40308,128,Lima,Peru,South America,3929,10/03/2019,17/03/2019,7
5084,08/07/2018,2,Molly Cross,13013,92,Nashville,United States,North America,3411,31/08/2019,08/09/2019,8
5085,08/07/2018,1,Jordan Curry,5821,83,Lincoln,United States,North America,4593,15/08/2019,24/08/2019,9
5086,08/07/2018,4,Mitchell Barton,8518,121,Sao Paulo,Brazil,South America,14780,11/02/2019,06/03/2019,23
5087,08/07/2018,1,Jordan Curry,42492,29,Dublin,Ireland,Europe,7798,21/07/2018,01/08/2018,11
5088,08/07/2018,3,Carole Cox,2747,49,Halifax,Canada,North America,9505,27/12/2018,28/12/2018,1
5089,08/07/2018,11,Kay Adams,14268,64,Baton Rouge,United States,North America,13751,19/05/2019,13/06/2019,25
5090,08/07/2018,7,Horace Hawkins,18164,125,Santa Marta,Colombia,South America,12237,27/10/2018,26/11/2018,30
5091,08/07/2018,7,Horace Hawkins,5607,19,Tokyo,Japan,Asia,14645,19/04/2018,29/04/2018,10
5092,08/07/2018,2,Molly Cross,14998,92,Nashville,United States,North America,6502,02/01/2019,15/01/2019,13
5093,08/07/2018,9,Olive Diaz,42829,85,Los Angeles,United States,North America,13303,10/07/2018,27/07/2018,17
5094,08/07/2018,10,Simon Fleming,26118,98,Omaha,United States,North America,8985,05/08/2018,28/08/2018,23
5095,08/07/2018,1,Jordan Curry,8222,23,Hoi An,Vietnam,Asia,11782,05/12/2018,02/01/2019,28
5096,08/07/2018,7,Horace Hawkins,21567,68,Buffalo,United States,North America,7538,06/12/2018,04/01/2019,29
5097,08/07/2018,1,Jordan Curry,44250,122,Santa Cruz,Chile,South America,9994,02/06/2018,21/06/2018,19
5098,08/07/2018,6,Thelma Jefferson,15946,58,Playa del Carmen,Mexico,North America,10703,25/02/2019,01/03/2019,4
5099,08/07/2018,4,Mitchell Barton,42080,32,Venice,Italy,Europe,8805,13/09/2019,09/10/2019,26
5100,08/07/2018,6,Thelma Jefferson,14887,54,Vancouver,Canada,North America,4746,22/04/2019,25/04/2019,3
5101,08/07/2018,7,Horace Hawkins,45040,4,Nairobi,Kenya,Africa,13635,01/10/2018,12/10/2018,11
5102,08/07/2018,3,Carole Cox,4946,43,Luxor,Egypt,Middle East,14000,09/03/2019,20/03/2019,11
5103,08/07/2018,4,Mitchell Barton,10069,62,Atlanta,United States,North America,2840,06/06/2019,16/06/2019,10
5104,08/07/2018,1,Jordan Curry,49756,43,Luxor,Egypt,Middle East,8991,27/09/2018,12/10/2018,15
5105,08/07/2018,8,Elisa Bennett,29936,16,Jaipur,India,Asia,10472,09/06/2018,11/06/2018,2
5106,08/07/2018,2,Molly Cross,44114,79,Houston,United States,North America,11436,08/05/2018,28/05/2018,20
5107,08/07/2018,2,Molly Cross,32775,75,Fort Worth,United States,North America,4324,16/03/2018,22/03/2018,6
5108,08/07/2018,10,Simon Fleming,5287,86,Louisville,United States,North America,13596,25/02/2019,15/03/2019,18
5109,08/07/2018,3,Carole Cox,36367,78,Honolulu,United States,North America,10716,16/06/2018,22/06/2018,6
5110,08/07/2018,5,Sandy Douglas,49280,58,Playa del Carmen,Mexico,North America,3391,19/05/2018,30/05/2018,11
5111,08/07/2018,11,Kay Adams,23548,54,Vancouver,Canada,North America,14404,25/01/2019,30/01/2019,5
5112,08/07/2018,2,Molly Cross,33556,45,Jerusalem,Israel,Middle East,5010,03/04/2018,07/04/2018,4
5113,09/07/2018,4,Mitchell Barton,13246,100,Palm Springs,United States,North America,10423,05/02/2019,27/02/2019,22
5114,09/07/2018,1,Jordan Curry,1524,112,Virginia Beach,United States,North America,6617,21/10/2018,08/11/2018,18
5115,09/07/2018,5,Sandy Douglas,4467,21,Singapore,Singapore,Asia,7673,13/06/2019,06/07/2019,23
5116,09/07/2018,3,Carole Cox,48658,15,Shanghai,China,Asia,8504,03/12/2018,22/12/2018,19
5117,09/07/2018,10,Simon Fleming,29241,94,New York City,United States,North America,5369,14/09/2019,13/10/2019,29
5118,09/07/2018,9,Olive Diaz,48340,7,Cape Town Central,South Africa,Africa,10128,06/07/2019,14/07/2019,8
5119,09/07/2018,11,Kay Adams,33923,35,Moscow,Russia,Europe,9942,05/04/2018,17/04/2018,12
5120,09/07/2018,1,Jordan Curry,1898,34,Lisbon,Portugal,Europe,2443,11/09/2019,19/09/2019,8
5121,09/07/2018,8,Elisa Bennett,346,73,Colorado Springs,United States,North America,13999,07/12/2018,27/12/2018,20
5122,09/07/2018,11,Kay Adams,37393,124,Bogota,Colombia,South America,14079,31/07/2019,25/08/2019,25
5123,09/07/2018,10,Simon Fleming,38563,123,Santiago,Chile,South America,13575,06/12/2018,22/12/2018,16
5124,09/07/2018,4,Mitchell Barton,40614,60,Anaheim,United States,North America,9712,21/11/2018,06/12/2018,15
5125,09/07/2018,7,Horace Hawkins,9004,15,Shanghai,China,Asia,6904,09/03/2018,14/03/2018,5
5126,09/07/2018,5,Sandy Douglas,6965,8,Johannesburg,South Africa,Africa,5628,21/10/2018,20/11/2018,30
5127,09/07/2018,11,Kay Adams,49535,113,Washington DC,United States,North America,3450,28/05/2019,01/06/2019,4
5128,09/07/2018,2,Molly Cross,6600,77,Greensboro,United States,North America,7392,23/06/2018,27/06/2018,4
5129,09/07/2018,6,Thelma Jefferson,2307,100,Palm Springs,United States,North America,9102,30/09/2019,25/10/2019,25
5130,09/07/2018,1,Jordan Curry,14173,67,Branson,United States,North America,9962,23/11/2018,21/12/2018,28
5131,09/07/2018,2,Molly Cross,49019,61,Anchorage,United States,North America,12008,06/08/2019,13/08/2019,7
5132,09/07/2018,1,Jordan Curry,27997,99,Orlando,United States,North America,6160,06/06/2019,11/06/2019,5
5133,09/07/2018,2,Molly Cross,32939,60,Anaheim,United States,North America,6951,02/06/2019,14/06/2019,12
5134,09/07/2018,2,Molly Cross,30997,52,Quebec City,Canada,North America,9594,24/03/2018,02/04/2018,9
5135,09/07/2018,7,Horace Hawkins,30282,15,Shanghai,China,Asia,6226,14/07/2018,24/07/2018,10
5136,09/07/2018,2,Molly Cross,5311,31,Rome,Italy,Europe,11239,28/06/2018,06/07/2018,8
5137,09/07/2018,8,Elisa Bennett,23350,20,Kathmandu,Nepal,Asia,5279,27/07/2019,31/07/2019,4
5138,09/07/2018,3,Carole Cox,23034,15,Shanghai,China,Asia,4789,22/06/2018,06/07/2018,14
5139,09/07/2018,2,Molly Cross,49256,122,Santa Cruz,Chile,South America,2492,07/05/2018,26/05/2018,19
5140,09/07/2018,1,Jordan Curry,41299,61,Anchorage,United States,North America,9953,29/07/2018,20/08/2018,22
5141,09/07/2018,8,Elisa Bennett,49452,14,Hong Kong,China,Asia,11615,28/07/2019,12/08/2019,15
5142,10/07/2018,8,Elisa Bennett,10468,58,Playa del Carmen,Mexico,North America,10968,30/07/2018,09/08/2018,10
5143,10/07/2018,4,Mitchell Barton,28913,25,Prague,Czech Republic,Europe,5687,04/04/2019,22/04/2019,18
5144,10/07/2018,6,Thelma Jefferson,14737,19,Tokyo,Japan,Asia,13915,11/12/2018,16/12/2018,5
5145,10/07/2018,2,Molly Cross,22148,25,Prague,Czech Republic,Europe,9204,12/09/2019,23/09/2019,11
5146,10/07/2018,1,Jordan Curry,30834,88,Miami Beach,United States,North America,11160,17/01/2019,18/01/2019,1
5147,10/07/2018,5,Sandy Douglas,11477,68,Buffalo,United States,North America,14167,28/08/2018,08/09/2018,11
5148,10/07/2018,5,Sandy Douglas,47263,76,Fresno,United States,North America,11201,25/04/2018,01/05/2018,6
5149,10/07/2018,2,Molly Cross,43135,123,Santiago,Chile,South America,7766,10/02/2019,22/02/2019,12
5150,10/07/2018,1,Jordan Curry,17364,27,Athens,Greece,Europe,13937,05/05/2018,20/05/2018,15
5151,10/07/2018,1,Jordan Curry,23649,90,Minneapolis,United States,North America,7140,11/06/2019,29/06/2019,18
5152,10/07/2018,6,Thelma Jefferson,16447,87,Memphis,United States,North America,7619,02/03/2019,13/03/2019,11
5153,10/07/2018,9,Olive Diaz,26732,91,Myrtle Beach,United States,North America,6110,14/01/2019,15/01/2019,1
5154,10/07/2018,7,Horace Hawkins,5558,98,Omaha,United States,North America,3022,01/10/2018,19/10/2018,18
5155,10/07/2018,9,Olive Diaz,7343,124,Bogota,Colombia,South America,8365,17/11/2018,26/11/2018,9
5156,10/07/2018,9,Olive Diaz,45554,94,New York City,United States,North America,4928,26/05/2018,16/06/2018,21
5157,10/07/2018,5,Sandy Douglas,19485,40,Edinburgh,United Kingdom,Europe,14006,28/09/2019,11/10/2019,13
5158,10/07/2018,4,Mitchell Barton,36154,90,Minneapolis,United States,North America,11441,08/06/2019,12/06/2019,4
5159,10/07/2018,3,Carole Cox,27885,96,Norfolk,United States,North America,5921,11/09/2019,24/09/2019,13
5160,10/07/2018,5,Sandy Douglas,33206,22,Chiang Mai,Thailand,Asia,3634,17/10/2018,08/11/2018,22
5161,10/07/2018,2,Molly Cross,11558,4,Nairobi,Kenya,Africa,3892,21/10/2018,10/11/2018,20
5162,10/07/2018,10,Simon Fleming,33562,104,Sacramento,United States,North America,4094,18/08/2019,06/09/2019,19
5163,10/07/2018,6,Thelma Jefferson,2911,46,Tel Aviv,Israel,Middle East,12655,22/10/2018,12/11/2018,21
5164,10/07/2018,3,Carole Cox,29329,123,Santiago,Chile,South America,14373,06/04/2018,10/04/2018,4
5165,10/07/2018,7,Horace Hawkins,45608,61,Anchorage,United States,North America,4383,29/07/2018,19/08/2018,21
5166,10/07/2018,5,Sandy Douglas,29861,48,Calgary,Canada,North America,11558,17/06/2019,07/07/2019,20
5167,10/07/2018,11,Kay Adams,31367,39,Istanbul,Turkey,Europe,14465,03/04/2018,05/04/2018,2
5168,10/07/2018,5,Sandy Douglas,15468,108,Seattle,United States,North America,7615,15/09/2018,22/09/2018,7
5169,10/07/2018,11,Kay Adams,14929,85,Los Angeles,United States,North America,3747,06/06/2019,23/06/2019,17
5170,10/07/2018,3,Carole Cox,41659,90,Minneapolis,United States,North America,7768,22/04/2019,23/04/2019,1
5171,10/07/2018,6,Thelma Jefferson,21052,121,Sao Paulo,Brazil,South America,2676,21/06/2018,26/06/2018,5
5172,11/07/2018,7,Horace Hawkins,12641,42,Cairo,Egypt,Middle East,5189,01/03/2019,09/03/2019,8
5173,11/07/2018,1,Jordan Curry,46941,65,Birmingham,United States,North America,3976,09/09/2019,03/10/2019,24
5174,11/07/2018,6,Thelma Jefferson,21038,36,Madrid,Spain,Europe,11699,06/05/2019,27/05/2019,21
5175,11/07/2018,4,Mitchell Barton,17719,44,Sharm El Sheikh,Egypt,Middle East,4848,14/06/2018,03/07/2018,19
5176,11/07/2018,9,Olive Diaz,37251,76,Fresno,United States,North America,9034,15/05/2019,26/05/2019,11
5177,11/07/2018,11,Kay Adams,47106,14,Hong Kong,China,Asia,2919,10/04/2019,02/05/2019,22
5178,11/07/2018,1,Jordan Curry,13764,71,Chicago,United States,North America,11395,06/07/2019,25/07/2019,19
5179,11/07/2018,6,Thelma Jefferson,22520,63,Baltimore,United States,North America,6437,28/09/2018,10/10/2018,12
5180,11/07/2018,8,Elisa Bennett,18480,102,Portland,United States,North America,4740,10/02/2019,01/03/2019,19
5181,11/07/2018,11,Kay Adams,10072,104,Sacramento,United States,North America,6934,31/05/2018,20/06/2018,20
5182,11/07/2018,3,Carole Cox,32315,119,Natal,Brazil,South America,13560,04/02/2019,05/02/2019,1
5183,11/07/2018,3,Carole Cox,33041,34,Lisbon,Portugal,Europe,14902,01/03/2018,06/03/2018,5
5184,11/07/2018,1,Jordan Curry,7711,112,Virginia Beach,United States,North America,11401,14/05/2018,31/05/2018,17
5185,11/07/2018,4,Mitchell Barton,13071,104,Sacramento,United States,North America,9699,29/05/2018,05/06/2018,7
5186,11/07/2018,6,Thelma Jefferson,13157,22,Chiang Mai,Thailand,Asia,2878,09/10/2018,26/10/2018,17
5187,11/07/2018,5,Sandy Douglas,14511,70,Charlotte,United States,North America,7577,18/04/2018,15/05/2018,27
5188,11/07/2018,8,Elisa Bennett,17519,53,Toronto,Canada,North America,2001,08/03/2018,19/03/2018,11
5189,11/07/2018,11,Kay Adams,2141,101,Phoenix,United States,North America,3512,28/12/2018,03/01/2019,6
5190,11/07/2018,1,Jordan Curry,9713,111,Tulsa,United States,North America,13328,15/05/2019,13/06/2019,29
5191,11/07/2018,6,Thelma Jefferson,22766,53,Toronto,Canada,North America,2142,17/11/2018,18/11/2018,1
5192,11/07/2018,6,Thelma Jefferson,34519,40,Edinburgh,United Kingdom,Europe,4144,24/02/2018,12/03/2018,16
5193,11/07/2018,2,Molly Cross,15470,82,Las Vegas,United States,North America,3294,03/01/2019,08/01/2019,5
5194,11/07/2018,5,Sandy Douglas,6327,27,Athens,Greece,Europe,13785,19/11/2018,10/12/2018,21
5195,11/07/2018,10,Simon Fleming,13074,69,Charleston,United States,North America,12773,02/09/2019,14/09/2019,12
5196,11/07/2018,5,Sandy Douglas,13107,30,Milan,Italy,Europe,5093,08/03/2018,15/03/2018,7
5197,11/07/2018,6,Thelma Jefferson,46426,126,Quito,Ecuador,South America,5935,17/07/2018,23/07/2018,6
5198,12/07/2018,6,Thelma Jefferson,24616,24,Vienna,Austria,Europe,11532,28/06/2018,18/07/2018,20
5199,12/07/2018,2,Molly Cross,3731,45,Jerusalem,Israel,Middle East,8676,25/09/2019,09/10/2019,14
5200,12/07/2018,1,Jordan Curry,16352,70,Charlotte,United States,North America,2069,11/08/2019,20/08/2019,9
5201,12/07/2018,6,Thelma Jefferson,38800,59,Puerto Vallarta,Mexico,North America,12481,02/04/2019,27/04/2019,25
5202,12/07/2018,6,Thelma Jefferson,17663,47,Dubai,United Arab Emirates,Middle East,5478,26/02/2018,05/03/2018,7
5203,12/07/2018,5,Sandy Douglas,29455,10,Stone Town,Tanzania,Africa,6197,08/08/2018,10/08/2018,2
5204,12/07/2018,5,Sandy Douglas,19271,74,Denver,United States,North America,3537,20/02/2019,09/03/2019,17
5205,12/07/2018,6,Thelma Jefferson,19496,29,Dublin,Ireland,Europe,5537,20/04/2018,15/05/2018,25
5206,12/07/2018,4,Mitchell Barton,46698,78,Honolulu,United States,North America,12407,28/07/2019,24/08/2019,27
5207,12/07/2018,6,Thelma Jefferson,6396,77,Greensboro,United States,North America,9244,16/02/2018,02/03/2018,14
5208,12/07/2018,7,Horace Hawkins,8902,39,Istanbul,Turkey,Europe,14016,24/08/2018,10/09/2018,17
5209,12/07/2018,5,Sandy Douglas,3108,27,Athens,Greece,Europe,7583,19/06/2019,05/07/2019,16
5210,12/07/2018,8,Elisa Bennett,22360,92,Nashville,United States,North America,7755,08/01/2019,13/01/2019,5
5211,12/07/2018,3,Carole Cox,19657,28,Budapest,Hungary,Europe,10656,28/12/2018,13/01/2019,16
5212,12/07/2018,6,Thelma Jefferson,25489,92,Nashville,United States,North America,11227,28/06/2019,01/07/2019,3
5213,12/07/2018,5,Sandy Douglas,1517,87,Memphis,United States,North America,8252,12/03/2018,27/03/2018,15
5214,12/07/2018,10,Simon Fleming,10081,118,Buenos Aires,Argentina,South America,13099,19/06/2018,06/07/2018,17
5215,12/07/2018,3,Carole Cox,7761,8,Johannesburg,South Africa,Africa,12946,16/09/2018,27/09/2018,11
5216,12/07/2018,8,Elisa Bennett,31556,30,Milan,Italy,Europe,10190,10/07/2018,18/07/2018,8
5217,12/07/2018,10,Simon Fleming,22466,83,Lincoln,United States,North America,14884,21/02/2019,23/02/2019,2
5218,12/07/2018,5,Sandy Douglas,34598,119,Natal,Brazil,South America,13044,24/08/2018,08/09/2018,15
5219,12/07/2018,4,Mitchell Barton,19203,35,Moscow,Russia,Europe,4785,26/11/2018,24/12/2018,28
5220,12/07/2018,1,Jordan Curry,12611,102,Portland,United States,North America,5218,27/09/2018,03/10/2018,6
5221,13/07/2018,9,Olive Diaz,44530,16,Jaipur,India,Asia,3845,10/06/2018,01/07/2018,21
5222,13/07/2018,9,Olive Diaz,24308,83,Lincoln,United States,North America,14559,01/11/2018,08/11/2018,7
5223,13/07/2018,9,Olive Diaz,39428,57,Mexico City,Mexico,North America,9345,28/07/2019,21/08/2019,24
5224,13/07/2018,10,Simon Fleming,2785,14,Hong Kong,China,Asia,11925,10/03/2018,27/03/2018,17
5225,13/07/2018,11,Kay Adams,41233,80,Jersey City,United States,North America,8785,15/02/2019,07/03/2019,20
5226,13/07/2018,8,Elisa Bennett,38230,86,Louisville,United States,North America,3943,03/06/2018,08/06/2018,5
5227,13/07/2018,5,Sandy Douglas,26941,8,Johannesburg,South Africa,Africa,14640,31/07/2019,22/08/2019,22
5228,13/07/2018,10,Simon Fleming,6283,44,Sharm El Sheikh,Egypt,Middle East,13273,28/07/2019,03/08/2019,6
5229,13/07/2018,1,Jordan Curry,27676,70,Charlotte,United States,North America,5217,22/11/2018,20/12/2018,28
5230,13/07/2018,6,Thelma Jefferson,2134,12,Beijing,China,Asia,10092,24/06/2018,27/06/2018,3
5231,13/07/2018,1,Jordan Curry,13607,55,Acapulco,Mexico,North America,8566,08/11/2018,17/11/2018,9
5232,13/07/2018,11,Kay Adams,21636,123,Santiago,Chile,South America,3197,27/09/2018,23/10/2018,26
5233,13/07/2018,5,Sandy Douglas,15436,103,Raleigh,United States,North America,7937,21/05/2018,31/05/2018,10
5234,13/07/2018,5,Sandy Douglas,22125,65,Birmingham,United States,North America,10564,17/04/2018,20/04/2018,3
5235,13/07/2018,9,Olive Diaz,36050,71,Chicago,United States,North America,3991,18/02/2019,08/03/2019,18
5236,13/07/2018,8,Elisa Bennett,45895,110,Tucson,United States,North America,7064,29/09/2019,14/10/2019,15
5237,13/07/2018,6,Thelma Jefferson,25697,80,Jersey City,United States,North America,2460,10/07/2019,20/07/2019,10
5238,13/07/2018,3,Carole Cox,25862,95,Newark,United States,North America,2840,13/09/2019,23/09/2019,10
5239,14/07/2018,1,Jordan Curry,23235,128,Lima,Peru,South America,5869,09/08/2018,06/09/2018,28
5240,14/07/2018,8,Elisa Bennett,37185,71,Chicago,United States,North America,13061,03/04/2018,20/04/2018,17
5241,14/07/2018,5,Sandy Douglas,48751,120,Rio de Janeiro,Brazil,South America,5659,23/07/2018,16/08/2018,24
5242,14/07/2018,1,Jordan Curry,13486,51,Niagara Falls,Canada,North America,11353,10/08/2019,18/08/2019,8
5243,14/07/2018,3,Carole Cox,25371,82,Las Vegas,United States,North America,9856,09/04/2018,07/05/2018,28
5244,14/07/2018,11,Kay Adams,34540,101,Phoenix,United States,North America,10817,14/04/2018,06/05/2018,22
5245,14/07/2018,4,Mitchell Barton,22723,46,Tel Aviv,Israel,Middle East,13355,08/08/2018,19/08/2018,11
5246,14/07/2018,3,Carole Cox,39655,121,Sao Paulo,Brazil,South America,5144,07/12/2018,12/12/2018,5
5247,14/07/2018,11,Kay Adams,41246,15,Shanghai,China,Asia,12746,17/06/2019,29/06/2019,12
5248,14/07/2018,4,Mitchell Barton,11871,42,Cairo,Egypt,Middle East,3492,04/12/2018,13/12/2018,9
5249,14/07/2018,3,Carole Cox,10385,117,Port Moresby,Papua New Guinea,Oceania/Australia,2366,31/05/2019,04/06/2019,4
5250,14/07/2018,10,Simon Fleming,42122,17,New Delhi,India,Asia,8281,24/08/2019,26/08/2019,2
5251,14/07/2018,11,Kay Adams,20453,109,Tampa,United States,North America,14033,18/02/2018,25/02/2018,7
5252,14/07/2018,10,Simon Fleming,5597,29,Dublin,Ireland,Europe,8345,03/06/2018,25/06/2018,22
5253,14/07/2018,9,Olive Diaz,48814,113,Washington DC,United States,North America,8770,03/09/2019,15/09/2019,12
5254,14/07/2018,6,Thelma Jefferson,34104,48,Calgary,Canada,North America,9767,28/02/2019,27/03/2019,27
5255,14/07/2018,11,Kay Adams,10530,11,Siem Reap,Cambodia,Asia,3267,25/09/2018,14/10/2018,19
5256,14/07/2018,11,Kay Adams,8942,2,Kololi,Gambia,Africa,6279,14/06/2018,04/07/2018,20
5257,14/07/2018,6,Thelma Jefferson,1574,95,Newark,United States,North America,11864,13/03/2018,28/03/2018,15
5258,14/07/2018,7,Horace Hawkins,4321,128,Lima,Peru,South America,9011,10/02/2019,14/02/2019,4
5259,14/07/2018,3,Carole Cox,22213,97,Oakland,United States,North America,2040,16/05/2019,22/05/2019,6
5260,14/07/2018,8,Elisa Bennett,6346,71,Chicago,United States,North America,3640,13/09/2019,30/09/2019,17
5261,14/07/2018,1,Jordan Curry,32630,104,Sacramento,United States,North America,6072,23/06/2018,20/07/2018,27
5262,14/07/2018,5,Sandy Douglas,261,92,Nashville,United States,North America,9491,06/09/2019,13/09/2019,7
5263,14/07/2018,9,Olive Diaz,37637,20,Kathmandu,Nepal,Asia,4031,05/11/2018,21/11/2018,16
5264,14/07/2018,3,Carole Cox,11495,32,Venice,Italy,Europe,14144,04/04/2018,02/05/2018,28
5265,14/07/2018,11,Kay Adams,21910,3,Diani Beach,Kenya,Africa,13313,23/02/2019,02/03/2019,7
5266,15/07/2018,7,Horace Hawkins,16804,66,Boston,United States,North America,9083,08/01/2019,12/01/2019,4
5267,15/07/2018,8,Elisa Bennett,29188,110,Tucson,United States,North America,14305,20/04/2018,13/05/2018,23
5268,15/07/2018,9,Olive Diaz,25180,79,Houston,United States,North America,6990,21/09/2018,08/10/2018,17
5269,15/07/2018,11,Kay Adams,1531,25,Prague,Czech Republic,Europe,8213,15/04/2018,24/04/2018,9
5270,15/07/2018,3,Carole Cox,19870,17,New Delhi,India,Asia,8532,27/09/2018,30/09/2018,3
5271,15/07/2018,9,Olive Diaz,8380,57,Mexico City,Mexico,North America,6324,20/03/2018,25/03/2018,5
5272,15/07/2018,7,Horace Hawkins,35465,98,Omaha,United States,North America,12275,08/12/2018,04/01/2019,27
5273,15/07/2018,11,Kay Adams,27874,80,Jersey City,United States,North America,5448,06/03/2018,14/03/2018,8
5274,15/07/2018,3,Carole Cox,25957,65,Birmingham,United States,North America,13438,23/06/2019,19/07/2019,26
5275,15/07/2018,4,Mitchell Barton,8576,51,Niagara Falls,Canada,North America,7744,16/02/2019,19/02/2019,3
5276,15/07/2018,8,Elisa Bennett,34858,23,Hoi An,Vietnam,Asia,6037,20/10/2018,14/11/2018,25
5277,15/07/2018,1,Jordan Curry,34527,60,Anaheim,United States,North America,14290,15/09/2018,06/10/2018,21
5278,15/07/2018,8,Elisa Bennett,33691,118,Buenos Aires,Argentina,South America,13739,03/10/2018,16/10/2018,13
5279,15/07/2018,9,Olive Diaz,3372,61,Anchorage,United States,North America,13423,09/08/2018,04/09/2018,26
5280,15/07/2018,9,Olive Diaz,4799,61,Anchorage,United States,North America,7820,19/06/2019,01/07/2019,12
5281,15/07/2018,7,Horace Hawkins,26124,64,Baton Rouge,United States,North America,5789,06/04/2018,28/04/2018,22
5282,15/07/2018,4,Mitchell Barton,4503,60,Anaheim,United States,North America,8675,29/07/2018,24/08/2018,26
5283,15/07/2018,8,Elisa Bennett,12340,117,Port Moresby,Papua New Guinea,Oceania/Australia,12989,23/09/2018,02/10/2018,9
5284,15/07/2018,4,Mitchell Barton,25072,60,Anaheim,United States,North America,13414,07/09/2019,11/09/2019,4
5285,15/07/2018,9,Olive Diaz,7725,73,Colorado Springs,United States,North America,3963,21/10/2018,05/11/2018,15
5286,15/07/2018,1,Jordan Curry,8307,29,Dublin,Ireland,Europe,11340,30/11/2018,01/12/2018,1
5287,15/07/2018,2,Molly Cross,17253,51,Niagara Falls,Canada,North America,13193,29/04/2018,30/04/2018,1
5288,15/07/2018,10,Simon Fleming,41751,91,Myrtle Beach,United States,North America,2783,21/04/2018,14/05/2018,23
5289,16/07/2018,5,Sandy Douglas,41615,44,Sharm El Sheikh,Egypt,Middle East,8315,03/08/2018,10/08/2018,7
5290,16/07/2018,6,Thelma Jefferson,44103,9,Knysna,South Africa,Africa,5281,17/08/2018,31/08/2018,14
5291,16/07/2018,3,Carole Cox,49999,103,Raleigh,United States,North America,12700,17/07/2018,30/07/2018,13
5292,16/07/2018,11,Kay Adams,26081,87,Memphis,United States,North America,2726,19/03/2019,07/04/2019,19
5293,16/07/2018,11,Kay Adams,39612,78,Honolulu,United States,North America,13255,20/12/2018,04/01/2019,15
5294,16/07/2018,9,Olive Diaz,23897,97,Oakland,United States,North America,13154,20/04/2019,17/05/2019,27
5295,16/07/2018,4,Mitchell Barton,1955,96,Norfolk,United States,North America,2351,12/03/2019,06/04/2019,25
5296,16/07/2018,11,Kay Adams,9284,20,Kathmandu,Nepal,Asia,12663,28/03/2019,25/04/2019,28
5297,16/07/2018,1,Jordan Curry,30675,30,Milan,Italy,Europe,2096,28/07/2018,31/07/2018,3
5298,16/07/2018,11,Kay Adams,35963,23,Hoi An,Vietnam,Asia,13748,17/06/2018,15/07/2018,28
